Orientation,Length,Nonsyn,HSmut,Convergent,Parallel,Coincidental
CD,118,5,0,0,0,0
CD,118,0,0,0,0,0
CD,119,0,0,0,0,0
CD,120,6,0,0,0,0
CD,120,2,0,0,0,0
CD,120,3,0,0,0,0
CD,120,0,0,0,0,0
CD,121,3,0,0,0,0
CD,121,2,0,0,0,0
CD,122,9,2,0,0,2
CD,123,6,4,0,2,2
CD,123,1,0,0,0,0
CD,123,0,0,0,0,0
CD,124,10,0,0,0,0
CD,124,4,0,0,0,0
CD,124,0,0,0,0,0
CD,124,0,0,0,0,0
CD,125,2,0,0,0,0
CD,125,2,0,0,0,0
CD,126,4,2,0,0,2
CD,126,4,0,0,0,0
CD,126,0,0,0,0,0
CD,127,2,0,0,0,0
CD,127,0,0,0,0,0
CD,127,0,0,0,0,0
CD,128,5,2,0,0,2
CD,129,6,0,0,0,0
CD,130,6,2,0,0,2
CD,130,4,2,0,0,2
CD,130,2,0,0,0,0
CD,130,3,0,0,0,0
CD,131,11,2,0,0,2
CD,131,3,2,0,2,0
CD,132,9,0,0,0,0
CD,132,8,2,0,2,0
CD,132,3,0,0,0,0
CD,132,1,0,0,0,0
CD,132,2,0,0,0,0
CD,133,4,2,0,2,0
CD,133,0,0,0,0,0
CD,134,7,2,0,2,0
CD,134,2,0,0,0,0
CD,135,3,0,0,0,0
CD,135,2,0,0,0,0
CD,136,1,0,0,0,0
CD,137,3,0,0,0,0
CD,138,1,0,0,0,0
CD,138,1,0,0,0,0
CD,138,0,0,0,0,0
CD,140,3,0,0,0,0
CD,140,3,0,0,0,0
CD,140,5,2,0,0,2
CD,140,2,0,0,0,0
CD,141,0,0,0,0,0
CD,142,6,0,0,0,0
CD,142,2,0,0,0,0
CD,143,7,2,0,2,0
CD,143,5,2,0,0,2
CD,143,4,0,0,0,0
CD,143,1,0,0,0,0
CD,143,0,0,0,0,0
CD,143,0,0,0,0,0
CD,144,3,0,0,0,0
CD,145,2,0,0,0,0
CD,145,2,0,0,0,0
CD,145,0,0,0,0,0
CD,146,12,2,0,2,0
CD,146,3,0,0,0,0
CD,146,2,0,0,0,0
CD,146,0,0,0,0,0
CD,147,9,2,0,0,2
CD,147,3,0,0,0,0
CD,147,0,0,0,0,0
CD,147,0,0,0,0,0
CD,148,6,0,0,0,0
CD,148,7,0,0,0,0
CD,148,2,0,0,0,0
CD,149,3,2,0,0,2
CD,149,2,0,0,0,0
CD,149,1,0,0,0,0
CD,149,1,0,0,0,0
CD,149,1,0,0,0,0
CD,149,0,0,0,0,0
CD,150,13,4,0,2,2
CD,150,3,0,0,0,0
CD,151,6,0,0,0,0
CD,151,3,0,0,0,0
CD,151,1,0,0,0,0
CD,152,0,0,0,0,0
CD,154,2,0,0,0,0
CD,154,2,0,0,0,0
CD,154,2,2,0,0,2
CD,154,0,0,0,0,0
CD,156,5,0,0,0,0
CD,156,5,0,0,0,0
CD,156,0,0,0,0,0
CD,156,0,0,0,0,0
CD,157,1,0,0,0,0
CD,157,1,0,0,0,0
CD,158,3,0,0,0,0
CD,159,2,0,0,0,0
CD,160,4,2,0,0,2
CD,161,6,0,0,0,0
CD,161,2,0,0,0,0
CD,162,5,0,0,0,0
CD,163,6,0,0,0,0
CD,164,6,0,0,0,0
CD,164,0,0,0,0,0
CD,166,3,0,0,0,0
CD,166,3,0,0,0,0
CD,166,1,0,0,0,0
CD,167,2,0,0,0,0
CD,167,1,0,0,0,0
CD,168,6,0,0,0,0
CD,169,10,4,0,2,2
CD,170,2,0,0,0,0
CD,170,4,2,0,0,2
CD,170,3,0,0,0,0
CD,170,1,0,0,0,0
CD,171,7,0,0,0,0
CD,172,5,0,0,0,0
CD,172,3,0,0,0,0
CD,172,1,0,0,0,0
CD,172,3,0,0,0,0
CD,172,2,0,0,0,0
CD,172,0,0,0,0,0
CD,173,10,0,0,0,0
CD,174,11,2,0,0,2
CD,176,0,0,0,0,0
CD,177,6,0,0,0,0
CD,177,2,0,0,0,0
CD,177,0,0,0,0,0
CD,179,5,0,0,0,0
CD,179,3,0,0,0,0
CD,179,4,0,0,0,0
CD,180,2,0,0,0,0
CD,181,10,0,0,0,0
CD,181,1,0,0,0,0
CD,183,6,0,0,0,0
CD,184,13,4,0,2,2
CD,184,5,0,0,0,0
CD,185,5,0,0,0,0
CD,185,3,0,0,0,0
CD,185,5,0,0,0,0
CD,185,1,0,0,0,0
CD,186,9,2,0,0,2
CD,186,5,0,0,0,0
CD,187,6,2,0,0,2
CD,187,2,0,0,0,0
CD,188,7,0,0,0,0
CD,188,2,0,0,0,0
CD,189,11,0,0,0,0
CD,189,5,0,0,0,0
CD,189,4,0,0,0,0
CD,189,2,0,0,0,0
CD,190,0,0,0,0,0
CD,191,13,0,0,0,0
CD,192,2,0,0,0,0
CD,192,2,0,0,0,0
CD,192,2,0,0,0,0
CD,193,9,0,0,0,0
CD,193,3,0,0,0,0
CD,194,7,0,0,0,0
CD,194,3,0,0,0,0
CD,197,1,0,0,0,0
CD,198,3,0,0,0,0
CD,198,0,0,0,0,0
CD,199,8,0,0,0,0
CD,199,9,0,0,0,0
CD,199,4,0,0,0,0
CD,201,9,0,0,0,0
CD,202,3,0,0,0,0
CD,202,0,0,0,0,0
CD,203,8,0,0,0,0
CD,204,15,0,0,0,0
CD,204,4,0,0,0,0
CD,204,7,2,0,0,2
CD,204,4,0,0,0,0
CD,204,3,0,0,0,0
CD,204,1,0,0,0,0
CD,206,11,4,0,0,4
CD,207,16,4,0,4,0
CD,207,8,2,0,0,2
CD,207,3,0,0,0,0
CD,207,1,0,0,0,0
CD,208,8,0,0,0,0
CD,209,2,0,0,0,0
CD,209,2,0,0,0,0
CD,210,3,0,0,0,0
CD,210,2,0,0,0,0
CD,211,18,2,0,0,2
CD,211,2,0,0,0,0
CD,211,0,0,0,0,0
CD,212,5,0,0,0,0
CD,212,0,0,0,0,0
CD,213,9,2,0,2,0
CD,213,3,0,0,0,0
CD,214,0,0,0,0,0
CD,215,10,0,0,0,0
CD,215,1,0,0,0,0
CD,217,8,0,0,0,0
CD,217,11,2,0,0,2
CD,217,2,0,0,0,0
CD,217,1,0,0,0,0
CD,218,2,0,0,0,0
CD,218,6,0,0,0,0
CD,218,1,0,0,0,0
CD,219,10,0,0,0,0
CD,219,3,0,0,0,0
CD,220,4,0,0,0,0
CD,221,5,0,0,0,0
CD,221,2,0,0,0,0
CD,224,6,0,0,0,0
CD,224,0,0,0,0,0
CD,225,3,0,0,0,0
CD,226,5,0,0,0,0
CD,226,5,0,0,0,0
CD,227,6,2,0,0,2
CD,227,6,0,0,0,0
CD,227,5,0,0,0,0
CD,227,3,0,0,0,0
CD,228,3,0,0,0,0
CD,229,9,0,0,0,0
CD,229,5,0,0,0,0
CD,229,0,0,0,0,0
CD,230,14,0,0,0,0
CD,230,8,0,0,0,0
CD,231,7,0,0,0,0
CD,232,4,0,0,0,0
CD,233,8,0,0,0,0
CD,233,3,0,0,0,0
CD,233,2,0,0,0,0
CD,234,12,2,0,2,0
CD,235,5,0,0,0,0
CD,235,0,0,0,0,0
CD,236,2,0,0,0,0
CD,237,7,0,0,0,0
